"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"4066","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP440/2026-2027/161945","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Vellalath Kochukrishnan Nair Sreekandan","PALAKKAD","17-Jul-2026","THEJAS TRADING CORPORATION","Payment Success","49899"
"4067","Lakshadweep","Purchase of hospital equipment","WS/MP18279/2025-2026/213958","LAKSHADWEEP DISTRICT(COLLECTOR CUM DEV COMMISSIONER LAKSHADWEEP_IDA)","MUHAMMED HAMDULLAH SAYEED","LAKSHADWEEP(ST)","20-Jul-2026","Warsi Medico Systems and Services","Payment Success","106000"
"4068","Gujarat","Purchase of hospital equipment","WS/MP18053/2026-2027/256906","Ahmedabad(DISTRICT COLLECTOR AHMADABAD_IDA)","DINESHBHAI MAKWANA","AHMEDABAD WEST(SC)","17-Jul-2026","SOFTHARD INNOVATIONS SOLUTIONS PRIVATE LIMITED","Payment Success","9000000"
"4069","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18058/2025-2026/215794","VADODARA(DISTRICT COLLECTOR VADODARA_IDA)","DR. HEMANG JOSHI","VADODARA","17-Aug-2026","VEJALPUR GRAM PANCHYAT","Payment Success","500000"
"4070","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP323/2025-2026/219032","JUNAGADH(DISTRICT COLLECTOR JUNAGADH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","01-Aug-2026","Gram Panchayat Ratang","Payment Success","294836"
"4071","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18099/2026-2027/289986","BHOPAL(DISTRICT COLLECTOR BHOPAL_IDA)","ALOK SHARMA","BHOPAL","20-Jul-2026","Khatakhedi","Payment Success","1400000"
"4072","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18055/2025-2026/241657","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","16-Jul-2026","Mahadeviya Gram Panchayat","Payment Success","300000"
"4073","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18055/2025-2026/241658","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","16-Jul-2026","Mahadeviya Gram Panchayat","Payment Success","200000"
"4074","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18055/2025-2026/241660","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","16-Jul-2026","Ghogha Gram Panchayat","Payment Success","200000"
"4075","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/258056","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","15-Jul-2026","gp aaju","Payment Success","72855"
"4076","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/258055","Deeg(DISTRICT COLLECTOR Deeg_IDA)","SANJNA JATAV","BHARATPUR(SC)","15-Jul-2026","gp aaju","Payment Success","87225"
"4077","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/234246","BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","21-Jul-2026","JALIYA GRAMPANCHAYAT","Payment Success","299289"
"4078","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2025-2026/219454","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","21-Jul-2026","MS JOSHI ENTERPRISES","Payment Success","40000"
"4079","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18311/2025-2026/219454","Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida)","MALVINDER SINGH KANG","ANANDPUR SAHIB","21-Jul-2026","LAKHAN LAL","Payment Success","58092"
"4080","Bihar","Construction of public staircase/ stair ghat for public convenience","WS/MP316/2025-2026/227532","SARAN(DISTRICT PLANNING OFFICE SARAN CHAPRA_IDA)","Shri Janardan Singh Sigriwal","MAHARAJGANJ_BR","15-Jul-2026","AVINESH KUMAR OJHA","Payment Success","1276416"
"4081","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2026-2027/250650","Kendujhar(DISTRICT COLLECTOR KEONJHAR_IDA)","ANANTA NAYAK","KEONJHAR(ST)","15-Jul-2026","Gopinath Ram","Payment Success","360096"
"4082","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18351/2026-2027/272186","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","DR BYREDDY SHABARI","NANDYAL","07-Aug-2026","T NAGA BHARGAVA REDDY","Payment Success","499915"
"4083","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18351/2026-2027/272187","Nandyal(DISTRICT COLLECTOR NANDYAL_IDA)","DR BYREDDY SHABARI","NANDYAL","07-Aug-2026","T NAGA BHARGAVA REDDY","Payment Success","499874"
"4084","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP642/2026-2027/246074","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","19-Jul-2026","SHREE KRIPA ENTERPRISES SATNA","Payment Success","92774"
"4085","Madhya Pradesh","Purchase of non-conventional energy system and devices for community use","WS/MP642/2026-2027/246075","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","19-Jul-2026","SHREE KRIPA ENTERPRISES SATNA","Payment Success","466151"
"4086","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP642/2026-2027/197133","SATNA(DISTRICT COLLECTOR SATNA_IDA)","Ganesh Singh","SATNA","14-Jul-2026","SHREE KRIPA ENTERPRISES SATNA","Payment Success","73031"
"4087","Karnataka","Construction of boundary walls of existing public and community buildings","WS/MP18083/2026-2027/268457","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","18-Jul-2026","PRAKHYATH RAJ SHETTY","Payment Success","298700"
"4088","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18083/2026-2027/268431","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","20-Jul-2026","PRAKHYATH RAJ SHETTY","Payment Success","297302"
"4089","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18083/2026-2027/268432","DAKSHINA KANNADA(DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE_IDA)","CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","15-Jul-2026","PRAKHYATH RAJ SHETTY","Payment Success","296406"
"4090","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP588/2026-2027/274026","DEVBHUMI DWARKA(DISTRICT COLLECTOR DEVBHUMI DWARKA_IDA)","Smt Poonamben Hematbhai Maadam","JAMNAGAR","15-Jul-2026","Vijaypur GP","Payment Success","299590"
"4091","Meghalaya","Construction of footpaths and pedestrian ways","WS/MP18309/2026-2027/287993","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","23-Jul-2026","Dilseng A Sangma","Payment Success","300000"
"4092","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP021/2025-2026/200609","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","20-Jul-2026","CHANDAN SINGH","Payment Success","18375"
"4093","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP021/2025-2026/200609","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","20-Jul-2026","HARISH CHANDRA","Payment Success","18375"
"4094","Telangana","Construction of community centers and community halls","WS/MP18194/2025-2026/224175","KAMAREDDY(District Collector Kamareddy_IDA)","SURESH KUMAR SHETKAR","ZAHIRABAD","15-Jul-2026","Syed Rahamathulla","Payment Success","499927"
"4095","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP021/2025-2026/200609","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","20-Jul-2026","MAMTA BISHT","Payment Success","9072"
"4096","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP021/2025-2026/200609","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","20-Jul-2026","NEELAM","Payment Success","9072"
"4097","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/	 MP667/2025-2026/218308","SANGLI(DISTRICT COLLECTOR SANGLI_IDA)","Dhairyasheel Sambhajirao Mane","HATKANANGLE","27-Jul-2026","VINAYAK ANANDRAV INGAVLE","Payment Success","1000000"
"4098","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP021/2025-2026/200609","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","20-Jul-2026","GUDDI DEVI","Payment Success","9072"
"4099","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP021/2025-2026/200609","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","20-Jul-2026","KAMLA DEVI","Payment Success","9072"
"4100","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP021/2025-2026/200609","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","20-Jul-2026","LEELA DEVI","Payment Success","9072"
"4101","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP021/2025-2026/200609","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","20-Jul-2026","SONA DEVI","Payment Success","9072"
"4102","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP021/2025-2026/200609","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","20-Jul-2026","TEJ SINGH","Payment Success","18375"
"4103","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP579/2026-2027/231518","ANAND(District Collector ANAND_IDA)","Mitesh Rameshbhai Bakabhai Patel","ANAND","15-Jul-2026","OUM SAI CONSTRUCTION","Payment Success","300000"
"4104","Gujarat","Construction of night shelters for homeless","WS/MP18054/2025-2026/236375","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","16-Jul-2026","CHITRODA MOTA GRAM PANCHAYAT","Payment Success","220000"
"4105","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18054/2025-2026/244858","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","HARIBHAI PATEL","MAHESANA","16-Jul-2026","VADU GRAM PANCHAYAT","Payment Success","120000"
"4106","Telangana","Construction of community centers and community halls","WS/MP18187/2025-2026/189986","Nirmal(DISTRICT COLLECTOR NIRMAL_3)","GODAM NAGESH","ADILABAD(ST)","16-Jul-2026","Chennaboina Anil Kumar","Payment Success","500000"
"4107","Odisha","Construction of community centers and community halls","WS/MP372/2025-2026/224386","Kataka(DISTRICT COLLECTOR CUTTACK_IDA)","Shri Bhartruhari Mahtab","CUTTACK","17-Jul-2026","BHABANI SHANKAR BARIK","Payment Success","500000"
"4108","Haryana","Construction of community centers and community halls","WS/MP18065/2025-2026/242114","JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR)","DEEPENDER SINGH HOODA","ROHTAK","16-Jul-2026","THE SAHIL CO OPERATIVE LABOUR AND CONSTRUCTION SOCIETY LTD","Payment Success","488013"
"4109","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP568/2026-2027/269969","DURG(DISTRICT COLLECTOR DURG_IDA)","Vijay Baghel","DURG","30-Jul-2026","SARPANCH SACHIV GRAM PANCHAYAT GANYARI","Payment Success","400000"
"4110","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18429/2026-2027/243634","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Ravindra Vasantrao Chavan","NANDED","05-Aug-2026","GRAM PANCHAYAT KARYALAY HANGARGA TQ NAIGAON","Payment Success","695903"
