"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"4055","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP740/2026-2027/211760","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","Andimuthu Raja","NILGIRIS(SC)","27-Jul-2026","KASTHURI SHANMUGAM","Payment Success","1482790"
"4056","Tamil Nadu","Lighting of public spaces","WS/MP747/2026-2027/269416","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","27-Jul-2026","THIRUPATHYRAJ R","Payment Success","120000"
"4057","Rajasthan","Street lights","WS/MP18169/2026-2027/260421","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","20-Jul-2026","TANU ENTERPRISES","Payment Success","794188"
"4058","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2025-2026/226774","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","16-Jul-2026","BHULLAR FARMS","Payment Success","28000"
"4059","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/226775","SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","19-Jul-2026","BHULLAR FARMS","Payment Success","36250"
"4060","Tamil Nadu","Construction of common work sheds/ common covered sitting area","WS/MP751/2026-2027/210012","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","15-Jul-2026","ALAGARSAMY P","Payment Success","2566137"
"4061","Chhattisgarh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18051/2026-2027/282650","MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA)","ROOP KUMARI CHOUDHARY","MAHASAMUND","17-Jul-2026","GP BHAWARCHUWA","Payment Success","350000"
"4062","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18264/2025-2026/204945","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","ADV K FRANCIS GEORGE","KOTTAYAM","13-Aug-2026","Sabu R","Payment Success","273495"
"4063","Assam","Construction of community centers and community halls","WS/MP18022/2025-2026/170963","TINSUKIA(DC Tinsukia)","Shri Sarbananda Sonowal (18LS)","DIBRUGARH","20-Jul-2026","MEERA ENTERPRISE","Payment Success","500000"
"4064","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP440/2026-2027/161945","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Vellalath Kochukrishnan Nair Sreekandan","PALAKKAD","17-Jul-2026","Poweron Buisness Solutions","Payment Success","267960"
"4065","Kerala","Purchase of IT systems, including hardware and software for educational purposes","WS/MP440/2026-2027/161945","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Vellalath Kochukrishnan Nair Sreekandan","PALAKKAD","17-Jul-2026","SUNRISE ENTERPRISES","Payment Success","49900"
