"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"3490","Normal/Others","WS/MP840/2024-2025/109148-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Dharmaram Thanda/ Nizamabad Rural; District : Nizamabad;","20-Feb-2024","25-Jul-2024","150000","Physical Inspection"
"3491","Normal/Others","WS/MP840/2024-2025/109187-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Mudakpally Gudi Thanda/ Mugpal; District : Nizamabad;","20-Feb-2024","06-Jan-2025","150000","Physical Inspection"
"3492","Normal/Others","WS/MP840/2024-2025/109190-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Bhairapur Thanda/ Mugpal; District : Nizamabad;","20-Feb-2024","25-Jul-2024","150000","Physical Inspection"
"3493","Normal/Others","WS/MP840/2024-2025/109197-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Amrabad Thanda/ Mugpal;  District : Nizamabad","20-Feb-2024","25-Jul-2024","150000","Physical Inspection"
"3494","Normal/Others","WS/MP840/2024-2025/109199-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Sardar Thanda (Badsi)/ Mugpal; District : Nizamabad;","20-Feb-2024","25-Jul-2024","150000","Physical Inspection"
"3495","Normal/Others","WS/MP840/2024-2025/109204-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Yellammakunta Thanda/ Mugpal; District : Nizamabad;","20-Feb-2024","25-Jul-2024","150000","Physical Inspection"
"3496","Normal/Others","WS/MP840/2024-2025/109221-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Doosgaon Thanda/ Dichpally; District : Nizamabad;","20-Feb-2024","25-Jul-2024","150000","Physical Inspection"
"3497","Normal/Others","WS/MP840/2024-2025/109225-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Sampally Thanda/ Dichpally; District : Nizamabad;","20-Feb-2024","12-Sep-2024","150000","Physical Inspection"
"3498","Normal/Others","WS/MP840/2024-2025/109227-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Mittapally Thanda/ Dichpally; District : Nizamabad;","20-Feb-2024","25-Jul-2024","150000","Physical Inspection"
"3499","Normal/Others","WS/MP840/2024-2025/109229-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Vesli Nagar Thanda/ Dichpally; District : Nizamabad;","20-Feb-2024","25-Jul-2024","150000","Physical Inspection"
"3500","Normal/Others","WS/MP840/2024-2025/109231-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Bibipur Thanda/ Dichpally; District : Nizamabad;","20-Feb-2024","25-Jul-2024","150000","Physical Inspection"
"3501","Normal/Others","WS/MP840/2024-2025/109232-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Makloor Thanda/ Indalwai; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3502","Normal/Others","WS/MP840/2024-2025/109234-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Sirnapally Station Thanda/ Indalwai; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3503","Normal/Others","WS/MP840/2024-2025/109236-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Gannaram Attu Thanda/ Indalwai; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3504","Normal/Others","WS/MP840/2024-2025/109260-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Pati Thanda/ Indalwai; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3505","Normal/Others","WS/MP840/2024-2025/109263-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Megyanayak Thanda/ Indalwai; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3506","Normal/Others","WS/MP840/2024-2025/109271-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Chandmiyabhag Thanda/ Jakranpally; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3507","Normal/Others","WS/MP840/2024-2025/109272-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Munipally Nadmi Thanda/ Jakranpally; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3508","Normal/Others","WS/MP840/2024-2025/109273-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Maddul Thanda/ Dharpally; District : Nizamabad;","20-Feb-2024","05-Aug-2024","150000","Physical Inspection"
"3509","Normal/Others","WS/MP840/2024-2025/109274-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : DB Thanda/ Dharpally; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3510","Normal/Others","WS/MP840/2024-2025/109275-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Salpa Thanda/ Dharpally; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3511","Normal/Others","WS/MP840/2024-2025/109276-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Musheer Nagar Thanda/ Sirkonda; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3512","Normal/Others","WS/MP840/2024-2025/109277-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Pakala/ Sirkonda; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3513","Normal/Others","WS/MP840/2024-2025/109279-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Sarpally Thanda/ Sirkonda; District : Nizamabad;","20-Feb-2024","10-Jul-2024","150000","Physical Inspection"
"3514","Normal/Others","WS/MP840/2024-2025/109280-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Manik Bhandar Thanda/ Makloor; District : Nizamabad;","20-Feb-2024","19-Jul-2024","150000","Physical Inspection"
"3515","Normal/Others","WS/MP840/2024-2025/109281-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Durga Nagar Kindi Thanda/ Makloor; District : Nizamabad;","20-Feb-2024","19-Jul-2024","150000","Physical Inspection"
"3516","Normal/Others","WS/MP840/2024-2025/109288-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Nadmi Thanda/ Makloor; District : Nizamabad;","20-Feb-2024","19-Jul-2024","150000","Physical Inspection"
"3517","Normal/Others","WS/MP840/2024-2025/109289-Street lights","Andhra Pradesh","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","Shri V. Vijayendra Prasad (2022-28) (2022-2028)","Nominated MP","Providing LED High Mast Lighting at the location given below:  GP/Village/Mandal : Ramchandrapally Thanda/ Aloor; District : Nizamabad;","20-Feb-2024","19-Jul-2024","150000","Physical Inspection"
"3518","Normal/Others","WS/MP197/2024-2025/109305-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","CC/Interlocking work from Chakia Vodafone Tower to Shiv Temple via Teja Dhobi's house.","19-Feb-2024","14-Aug-2024","945507","Physical Inspection"
"3519","Normal/Others","WS/MP107/2023-2024/109681-Construction of rooms and halls in school and colleges","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Smt. Sumitra Balmik (2022-28) (2022-2028)","Elected MP","Construction 06 additional teaching rooms in Newton College of Science and Technology","20-Feb-2024","12-Mar-2024","2000000","Vendor Identification"
"3520","Normal/Others","WS/MP078/2023-2024/109987-Street lights","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","Installation of 05 Solar Lights at village Malag (Kudara), Harijan Basti, G. P. Malag, Dev. Block Nadaun, District Hamirpur as per recommendation of Sh. Shanker Singh (Executing Agency BDO, Nadaun)","20-Feb-2024","15-Mar-2024","100000","Vendor Identification"
"3521","Normal/Others","WS/MP139/2023-2024/110203-Construction of roads, link roads, pathways or any other road with or without drainage system","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","Providing WBM & BT road facilities to Balamurugan nagar in Thengaithittu in Ariankuppam Constituency","20-Feb-2024","22-Feb-2024","2168000","Physical Inspection"
"3522","Normal/Others","WS/MP197/2024-2025/110243-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","CC/Interlocking work from Majhowa Malik Pura Road to Ravindra Singh's door via Panchayat Bhawan.","20-Feb-2024","14-Aug-2024","947500","Physical Inspection"
"3523","Normal/Others","WS/MP197/2024-2025/110250-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","CC/Interlocking work from BST Bandha to Loha Gupta's house via Panchdev Paswan's house.","20-Feb-2024","14-Aug-2024","841820","Physical Inspection"
"3524","Normal/Others","WS/MP197/2024-2025/110297-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","CC/Interlocking work from Kali Mata Temple to Primary School No. 2 in Durjanpur Hanumanganj.","20-Feb-2024","14-Aug-2024","921128","Physical Inspection"
"3525","Normal/Others","WS/MP197/2024-2025/110307-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","CC/Interlocking work from Hanuman Temple in Chandpur to Kamlesh Pandey's house from Primary School Chandpur via Badak Verma's Dera.","20-Feb-2024","14-Aug-2024","946945","Physical Inspection"
"3526","Normal/Others","WS/MP197/2024-2025/110309-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","C.C/interlocking work from Pachrukha Dudhaila main road till Shivji Singh's door.","20-Feb-2024","14-Aug-2024","948030","Physical Inspection"
"3527","Normal/Others","WS/MP106/2023-2024/110311-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","DINDORI(District Collector Dindori_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Deora Hansnagar, janpad Panchayat Dindori Bhavtarini Mandir ke pas Samudayik Sanskratik Gatividhiyo ke liye Bhavan ka Nirman, Dindori","20-Feb-2024","12-Mar-2024","300000","Vendor Identification"
"3528","Normal/Others","WS/MP197/2024-2025/110318-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","CC/Interlocking work from Dih Baba's place near Sonwani Power House on the main road in Sonwani to Vishwajeet Singh's house.","20-Feb-2024","14-Aug-2024","847798","Physical Inspection"
"3529","Normal/Others","WS/MP197/2024-2025/110324-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","CC/Interlocking work from Dalchhapra Chatti in Dalchhapra to Jiut Yadav's door via Ramdev's door.","20-Feb-2024","14-Aug-2024","845903","Physical Inspection"
"3530","Normal/Others","WS/MP197/2024-2025/110325-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","CC/Interlocking work from Badak Sahni's house to Pitch Road in Duttaha","20-Feb-2024","14-Aug-2024","846893","Physical Inspection"
"3531","Normal/Others","WS/MP197/2024-2025/110328-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","CC/Interlocking work from BST Bandha in Tangerhi from Satya Narayan Singh's house to Shri Hari Singh's house.","20-Feb-2024","14-Aug-2024","945478","Physical Inspection"
"3532","Normal/Others","WS/MP197/2024-2025/110329-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","CC/Interlocking work from Baijnath Chhapra Ramdas Paswan's house on Pitch Road in Kotwa to Triloki Verma's house via Shankar ji's Shivla.","20-Feb-2024","14-Aug-2024","945233","Physical Inspection"
"3533","Normal/Others","WS/MP197/2024-2025/110331-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","CC/Interlocking work from Kali Mandir to Ghura Thakur's house in Ibarahimabad.","20-Feb-2024","14-Aug-2024","946592","Physical Inspection"
"3534","Normal/Others","WS/MP197/2024-2025/110335-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","Chakia. CC/Interlocking work from Rajesh Srivastava's house in Jamalpur via Bharat Verma's house to Bandhe near Suman Singh's farm.","20-Feb-2024","14-Aug-2024","943851","Physical Inspection"
"3535","Normal/Others","WS/MP197/2024-2025/110337-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","CC/Interlocking work from Dharamnath Singh's house in ibarahimabad to Pintu Shah's house via Mithilesh Singh's house.","20-Feb-2024","14-Aug-2024","945198","Physical Inspection"
"3536","Normal/Others","WS/MP197/2024-2025/110340-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Neeraj Shekhar (2020-26) (2020-2026)","Elected MP","CC/Interlocking work from Shrinath Singh Chauhan's house in Talibpur via Sanad Tiwari's house to Mahavir place in front of Jitan Seth's house.","20-Feb-2024","14-Aug-2024","945716","Physical Inspection"
