"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"11849","Karnataka","Construction of buildings for multi-gym","WS/MP086/2024-2025/159255","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","12-Mar-2026","THE SHREE RAM COOPERATIVE LABOUR AND CONSTRUCTION SOCITY LIMITED DHAND","Payment Success","45728"
"11850","Karnataka","Construction of community centers and community halls","WS/MP18421/2025-2026/162157","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri Ajay Makan (2024-30) (2024-2030)","Elected MP","10-Oct-2025","THE SHREE RAM COOPERATIVE LABOUR AND CONSTRUCTION SOCITY LIMITED DHAND","Payment Success","382469"
"11851","Karnataka","Construction of community centers and community halls","WS/MP18421/2025-2026/162157","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri Ajay Makan (2024-30) (2024-2030)","Elected MP","10-Nov-2025","THE SHREE RAM COOPERATIVE LABOUR AND CONSTRUCTION SOCITY LIMITED DHAND","Payment Success","456673"
"11852","Karnataka","Construction of community centers and community halls","WS/MP18421/2025-2026/162157","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri Ajay Makan (2024-30) (2024-2030)","Elected MP","12-Mar-2026","THE SHREE RAM COOPERATIVE LABOUR AND CONSTRUCTION SOCITY LIMITED DHAND","Payment Success","151046"
"11853","Karnataka","Construction of buildings for multi-gym","WS/MP086/2024-2025/160668","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","16-Oct-2025","THE SHREE RAM COOPERATIVE LABOUR AND CONSTRUCTION SOCITY LIMITED DHAND","Payment Success","125940"
"11854","Karnataka","Construction of buildings for multi-gym","WS/MP086/2024-2025/160668","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","29-Dec-2025","THE SHREE RAM COOPERATIVE LABOUR AND CONSTRUCTION SOCITY LIMITED DHAND","Payment Success","124049"
"11855","Karnataka","Construction of buildings for multi-gym","WS/MP086/2024-2025/160668","KAITHAL(DC CUM NODAL OFFICERS MPLADS)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","12-Mar-2026","THE SHREE RAM COOPERATIVE LABOUR AND CONSTRUCTION SOCITY LIMITED DHAND","Payment Success","44998"
"11856","Himachal Pradesh","Construction of bus-sheds or bus-stops","WS/MP18304/2025-2026/190405","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","05-Aug-2025","GRAM PANCHAYAT TAPOON","Payment Success","100000"
"11857","Himachal Pradesh","Construction of bus-sheds or bus-stops","WS/MP18304/2025-2026/190405","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","28-Jan-2026","GRAM PANCHAYAT TAPOON","Payment Success","100000"
"11858","Himachal Pradesh","Purchase of books for public libraries/ digitization of library books","WS/MP078/2024-2025/154573","Lahaul And Spiti(DEPUTY COMMISSIONER L and S_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","18-Dec-2024","Mittal Book Agency","Payment Success","2000000"
"11859","Himachal Pradesh","Purchase of books and periodicals for libraries/digitization of library books","WS/MP078/2025-2026/220893","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","17-Oct-2025","Mittal Book Agency","Payment Success","1994538"
"11860","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP180/2023-2024/82128","MIRZAPUR(DISTRICT MAGISTRATE MIRZAPUR_IDA)","Dr. K. Laxman (2022-28) (2022-2028)","Elected MP","09-Jan-2025","MAHAVEER ENTERPRISES","Payment Success","487000"
"11861","Karnataka","Construction of community centers and community halls","WS/MP18364/2025-2026/167592","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","22-Jul-2025","HULLAPPA SOMAPPA LAMANI","Payment Success","225000"
"11862","Karnataka","Construction of community centers and community halls","WS/MP18364/2025-2026/167592","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","11-Aug-2025","HULLAPPA SOMAPPA LAMANI","Payment Success","74792"
"11863","Rajasthan","Construction of bus-sheds or bus-stops","WS/MP18298/2025-2026/173978","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","19-Dec-2025","RAMCHANDRA CONSTRUCTION","Payment Success","349988"
"11864","Rajasthan","Construction of bus-sheds or bus-stops","WS/MP18298/2025-2026/173977","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri Madan Rathore (2024-30) (2024-2030)","Elected MP","02-Dec-2025","RAMCHANDRA CONSTRUCTION","Payment Success","399702"
"11865","Chhattisgarh","Construction of buildings for community cultural activities","WS/MP225/2024-2025/146665","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","30-Dec-2024","CONST OF SANSKRITIK BHAWAN AT PACHIM BHATNAPATTY MEAR 1408 NO LP SCHOOL","Payment Success","1500000"
"11866","Chhattisgarh","Construction of buildings for community cultural activities","WS/MP225/2024-2025/146665","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","15-Sep-2025","CONST OF SANSKRITIK BHAWAN AT PACHIM BHATNAPATTY MEAR 1408 NO LP SCHOOL","Payment Success","1000000"
"11867","Telangana","Construction of buildings for multi-gym","WS/MP846/2024-2025/136891","Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","28-Oct-2025","CHINDAM SRINIVAS","Payment Success","496450"
"11868","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2026-2027/167196","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","19-Jun-2026","SHIVAJI BAJIRAO SHINDE","Payment Success","995486"
"11869","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18287/2025-2026/147472","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Shri Ashokrao Shankarrao Chavan (2024-30) (2024-2030)","Elected MP","03-Feb-2026","CHAIRMAN SANT NAMDEO MAHARAJ MAJOOR SAHAKARI SANSTHA LTD","Payment Success","997498"
"11870","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2023-2024/15151","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","20-Dec-2024","GIAN SAHOTA","Payment Success","43120"
"11871","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP140/2023-2024/15151","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","20-Dec-2024","ambica briks co","Payment Success","13780"
"11872","Punjab","Construction of stadiums","WS/MP141/2023-2024/80689","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","07-Aug-2025","SARVJIT SINGH","Payment Success","10000"
"11873","Punjab","Construction of stadiums","WS/MP141/2023-2024/80689","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","07-Aug-2025","SARVJIT SINGH","Payment Success","3600"
"11874","Punjab","Construction of stadiums","WS/MP141/2023-2024/80688","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","23-Dec-2024","SARVJIT SINGH","Payment Success","18000"
"11875","Punjab","Construction of stadiums","WS/MP141/2023-2024/80688","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","23-Dec-2024","JASWINDER SINGH SO MOHINDER SINGH","Payment Success","16500"
"11876","Punjab","Construction of stadiums","WS/MP141/2023-2024/80688","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","23-Dec-2024","HARPREET SINGH SO MOHINDER SINGH","Payment Success","12800"
"11877","Punjab","Construction of stadiums","WS/MP141/2023-2024/80689","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","07-Aug-2025","HARPREET SINGH SO MOHINDER SINGH","Payment Success","12500"
"11878","Punjab","Construction of stadiums","WS/MP141/2023-2024/80689","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","07-Aug-2025","HARPREET SINGH SO MOHINDER SINGH","Payment Success","4500"
"11879","Punjab","Construction of stadiums","WS/MP141/2023-2024/80688","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","23-Dec-2024","VARINDER KUMAR SO RAM DIYAL","Payment Success","14400"
"11880","Punjab","Construction of stadiums","WS/MP141/2023-2024/80688","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","23-Dec-2024","SAMANJOT SINGH SO PARWINDER SINGH","Payment Success","14400"
"11881","Punjab","Construction of stadiums","WS/MP141/2023-2024/80688","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","23-Dec-2024","HARPREET SINGH SO HANS RAJ","Payment Success","13600"
"11882","Punjab","Construction of stadiums","WS/MP141/2023-2024/80689","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","07-Aug-2025","HARPREET SINGH SO HANS RAJ","Payment Success","10000"
"11883","Punjab","Construction of stadiums","WS/MP141/2023-2024/80689","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","07-Aug-2025","HARPREET SINGH SO HANS RAJ","Payment Success","3600"
"11884","Punjab","Construction of stadiums","WS/MP141/2023-2024/80688","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","23-Dec-2024","MANPREET KAUR WO PARWINDER SINGH","Payment Success","14000"
"11885","Punjab","Construction of stadiums","WS/MP141/2023-2024/80688","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","23-Dec-2024","RIDAM HANS SO RAKESH KUMAR","Payment Success","14000"
"11886","Punjab","Construction of stadiums","WS/MP141/2023-2024/80689","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","07-Aug-2025","RIDAM HANS SO RAKESH KUMAR","Payment Success","10000"
"11887","Punjab","Construction of stadiums","WS/MP141/2023-2024/80688","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","23-Dec-2024","ANJALI DO DESH RAJ","Payment Success","12800"
"11888","Punjab","Construction of stadiums","WS/MP141/2023-2024/80688","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","23-Dec-2024","PARMINDER SINGH SO SUKHWINDER SINGH","Payment Success","16500"
"11889","Madhya Pradesh","Construction of rooms and halls in school and colleges","WS/MP103/2025-2026/180659","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","10-Mar-2026","SHASWAT DEVELOPERS","Payment Success","47850"
"11890","Madhya Pradesh","Construction of rooms and halls in school and colleges","WS/MP103/2025-2026/180659","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","26-Sep-2025","SHASWAT DEVELOPERS","Payment Success","69480"
"11891","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP199/2025-2026/171309","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Sudhanshu Trivedi (2024-30) (2024-2030)","Elected MP","11-Oct-2025","BHOLE TRADERS","Payment Success","1213882"
"11892","Tamil Nadu","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP162/2023-2024/65656","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","Shri S. Kalyanasundaram (2022-28) (2022-2028)","Elected MP","04-Feb-2025","K Nagendran","Payment Success","3995539"
"11893","Andhra Pradesh","Construction of public irrigation facilities","WS/MP18428/2025-2026/241781","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","04-May-2026","podamekala malyadri","Payment Success","499862"
"11894","Andhra Pradesh","Construction of public irrigation facilities","WS/MP18428/2025-2026/241782","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","04-May-2026","podamekala malyadri","Payment Success","499757"
"11895","Andhra Pradesh","Construction of public irrigation facilities","WS/MP18428/2025-2026/241783","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","08-May-2026","podamekala malyadri","Payment Success","499557"
"11896","Andhra Pradesh","Construction of public irrigation facilities","WS/MP18428/2025-2026/241784","Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA)","Shri Masthan Rao Yadav Beedha (2024-28) (2024-2028)","Elected MP","08-May-2026","podamekala malyadri","Payment Success","499645"
"11897","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP891/2025-2026/250852","MORBI(District collector Morbi_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","29-Jul-2026","RAJSHALI GRAM PANCHAYAT","Payment Success","300000"
"11898","Madhya Pradesh","Purchase of books for public libraries/ digitization of library books","WS/MP106/2024-2025/16198","SHAJAPUR(District Collector Shajapur_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","20-Dec-2024","ABHIBHASHAK SANGH KALAPIPAL","Payment Success","40000"
"11899","Punjab","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP141/2024-2025/147410","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","03-Jan-2025","PARDHAN SONS INDIA","Payment Success","248400"
"11900","Maharashtra","Construction of rooms and halls in school and colleges","WS/MP108/2024-2025/135225","WARDHA(DISTRICT COLLECTOR WARDHA_IDA)","Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028)","Elected MP","01-Jan-2025","ADARSHA MAJOOR KAMGAR SAHAKARI SANSTHA LTD","Payment Success","1900773"
"11901","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP887/2025-2026/251362","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","11-Jul-2026","indian Construction","Payment Success","956545"
"11902","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP887/2023-2024/127572","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","13-Jan-2025","indian Construction","Payment Success","947553"
"11903","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP887/2023-2024/127572","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","13-Jan-2025","indian Construction","Payment Success","368866"
"11904","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP887/2023-2024/127572","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","13-Jan-2025","indian Construction","Payment Success","333000"
"11905","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP887/2023-2024/127572","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","13-Jan-2025","indian Construction","Payment Success","349804"
"11906","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP887/2023-2024/127572","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","13-Jan-2025","indian Construction","Payment Success","889229"
"11907","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP887/2023-2024/127572","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","26-May-2025","indian Construction","Payment Success","992743"
"11908","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP887/2025-2026/242298","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","10-Jul-2026","indian Construction","Payment Success","864940"
"11909","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP887/2025-2026/192649","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","12-Apr-2026","indian Construction","Payment Success","494420"
"11910","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP887/2025-2026/228752","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","12-Apr-2026","indian Construction","Payment Success","1174100"
"11911","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP889/2025-2026/256622","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","21-May-2026","KUCHAVADA GRAMPANCHAYAT","Payment Success","500000"
"11912","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP116/2025-2026/136774","THANE(DISTRICT COLLECTOR THANE_IDA)","Shri Sanjay Raut (2022-28) (2022-2028)","Elected MP","31-Mar-2026","Jha P and Company","Payment Success","4823414"
"11913","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP116/2025-2026/136776","THANE(DISTRICT COLLECTOR THANE_IDA)","Shri Sanjay Raut (2022-28) (2022-2028)","Elected MP","31-Mar-2026","Jha P and Company","Payment Success","4823415"
"11914","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP171/2024-2025/148939","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","24-Dec-2024","RASALA YADAIAH","Payment Success","498000"
"11915","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP171/2024-2025/148940","YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","24-Dec-2024","RASALA YADAIAH","Payment Success","498000"
"11916","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2024-2025/147532","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","03-Mar-2025","Patidar Traders","Payment Success","199563"
"11917","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2024-2025/147532","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","03-Mar-2025","Patidar Traders","Payment Success","153300"
"11918","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2024-2025/147532","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","03-Mar-2025","Patidar Traders","Payment Success","146972"
"11919","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2024-2025/147532","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","12-Mar-2025","Patidar Traders","Payment Success","68250"
"11920","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2024-2025/147532","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","12-Mar-2025","Patidar Traders","Payment Success","78750"
"11921","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2024-2025/147532","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","12-Mar-2025","Patidar Traders","Payment Success","66560"
"11922","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2024-2025/147532","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","12-Mar-2025","Patidar Traders","Payment Success","75075"
"11923","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2024-2025/147532","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","12-Mar-2025","Patidar Traders","Payment Success","146250"
"11924","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2024-2025/147532","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","12-Mar-2025","Patidar Traders","Payment Success","66675"
"11925","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2024-2025/147532","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","12-Mar-2025","Patidar Traders","Payment Success","83200"
"11926","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2024-2025/147532","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","12-Mar-2025","Patidar Traders","Payment Success","86528"
"11927","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP103/2024-2025/147532","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","12-Mar-2025","Patidar Traders","Payment Success","63712"
"11928","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP103/2025-2026/209510","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","22-Aug-2025","Patidar Traders","Payment Success","248000"
"11929","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP103/2025-2026/209510","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","28-Oct-2025","Patidar Traders","Payment Success","194275"
"11930","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP103/2025-2026/209510","INDORE(DISTRICT COLLECTOR INDORE_IDA)","Dr. Kavita Patidar (2022-28) (2022-2028)","Elected MP","28-Oct-2025","Patidar Traders","Payment Success","114725"
"11931","Himachal Pradesh","Construction of rooms and halls in school and colleges","WS/MP18304/2024-2025/157333","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","03-Feb-2025","GP Khajjiar","Payment Success","150000"
"11932","Himachal Pradesh","Construction of rooms and halls in school and colleges","WS/MP18304/2024-2025/157333","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","01-Jul-2025","GP Khajjiar","Payment Success","150000"
"11933","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/215878","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","22-Aug-2025","GP Khajjiar","Payment Success","200000"
"11934","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/215878","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","02-Jan-2026","GP Khajjiar","Payment Success","200000"
"11935","Himachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18304/2025-2026/248406","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","26-Dec-2025","GP Khajjiar","Payment Success","100000"
"11936","Himachal Pradesh","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18304/2025-2026/248406","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","13-Apr-2026","GP Khajjiar","Payment Success","100000"
"11937","Uttar Pradesh","Development of public parks","WS/MP887/2024-2025/151251","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","04-Oct-2025","BALAJI CONSTRUCTION","Payment Success","475476"
"11938","Uttar Pradesh","Development of public parks","WS/MP887/2024-2025/151257","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","04-Oct-2025","BALAJI CONSTRUCTION","Payment Success","475476"
"11939","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP887/2023-2024/105224","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","17-Jan-2025","BALAJI CONSTRUCTION","Payment Success","982840"
"11940","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP887/2023-2024/105224","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","17-Jan-2025","BALAJI CONSTRUCTION","Payment Success","989368"
