mp_id,parliament_house,mp_name,state,constituency,elected_nominated,allocated_amount
MP_LS_475,Lok Sabha,Smita Uday Wagh,Maharashtra,JALGAON,,148107373.11
MP_LS_476,Lok Sabha,Anupriya Patel,Uttar Pradesh,MIRZAPUR,,147000000.0
MP_LS_477,Lok Sabha,Aparajita Sarangi,Odisha,BHUBANESWAR,,147420861.41
MP_LS_478,Lok Sabha,Dimple Yadav,Uttar Pradesh,MAINPURI,,192042469.11
MP_LS_479,Lok Sabha,Harsimrat Kaur Badal,Punjab,BHATINDA,,159775982.39
MP_LS_480,Lok Sabha,Hema Malini,Uttar Pradesh,MATHURA,,147000000.0
MP_LS_481,Lok Sabha,Himadri Singh,Madhya Pradesh,SHAHDOL (ST),,150724861.11
MP_LS_482,Lok Sabha,Poonamben Hematbhai Maadam,Gujarat,JAMNAGAR,,147000000.0
MP_LS_483,Lok Sabha,Raksha Nikhil Khadse,Maharashtra,RAVER,,153112586.11
MP_LS_484,Lok Sabha,S Jothimani,Tamil Nadu,KARUR,,147000000.0
MP_LS_485,Lok Sabha,Sajda Ahmed,West Bengal,ULUBERIA,,147000000.0
MP_LS_486,Lok Sabha,Sandhya Ray,Madhya Pradesh,BHIND(SC),,147000000.0
MP_LS_487,Lok Sabha,Sangeeta Kumari Singh Deo,Odisha,BOLANGIR,,147000000.0
MP_LS_488,Lok Sabha,Satabdi Roy (Banerjee),West Bengal,BIRBHUM,,147000000.0
MP_LS_489,Lok Sabha,Supriya Sadanand Sule,Maharashtra,BARAMATI,,147000000.0
MP_LS_490,Lok Sabha,Veena Devi,Bihar,VAISHALI,,147000000.0
MP_LS_491,Lok Sabha,Sribharat Mathukumli,Andhra Pradesh,VISAKHAPATNAM,,164841922.0
MP_LS_492,Lok Sabha,Sudama Prasad,Bihar,ARRAH,,147000000.0
MP_LS_493,Lok Sabha,Sudha R,Tamil Nadu,MAYILADUTHURAI,,147332315.11
MP_LS_494,Lok Sabha,Sudhakar Singh,Bihar,BUXAR,,185211956.54
MP_LS_495,Lok Sabha,Sudip Bandyopadhyay,West Bengal,KOLKATA UTTAR,,147000000.0
MP_LS_496,Lok Sabha,Sukanta Kumar Panigrahi,Odisha,KANDHAMAL,,190712424.11
MP_LS_497,Lok Sabha,Sukhdeo Bhagat,Jharkhand,LOHARDAGA(ST),,171821957.11
MP_LS_498,Lok Sabha,Sukhjinder Singh Randhawa,Punjab,GURDASPUR,,147000000.0
MP_LS_499,Lok Sabha,Sunil Bose,Karnataka,CHAMARAJANAGAR(SC),,147000000.0
MP_LS_500,Lok Sabha,Sunil Dattatray Tatkare,Maharashtra,RAIGAD,,147000000.0
MP_LS_501,Lok Sabha,Sunil Kumar,Bihar,VALMIKI NAGAR,,147000000.0
MP_LS_502,Lok Sabha,Surendra Prasad Yadav,Bihar,JAHANABAD,,155325714.0
MP_LS_503,Lok Sabha,Suresh Gopi,Kerala,THRISSUR,,147000000.0
MP_LS_504,Lok Sabha,Suresh Kumar Kashyap,Himachal Pradesh,SHIMLA (SC),,153563957.11
MP_LS_505,Lok Sabha,Suresh Kumar Shetkar,Telangana,ZAHIRABAD,,147000000.0
MP_LS_506,Lok Sabha,Swami Sachchidanandhari Sakshi Ji Maharaj,Uttar Pradesh,UNNAO,,147000000.0
MP_LS_507,Lok Sabha,T Sumathy (A) Thamizhachi Thangapandian,Tamil Nadu,CHENNAI SOUTH,,147000000.0
MP_LS_508,Lok Sabha,Tangella Uday Srinivas,Andhra Pradesh,KAKINADA,,199417886.76
MP_LS_509,Lok Sabha,Tanuj Punia,Uttar Pradesh,BARABANKI(SC),,148198170.11
MP_LS_510,Lok Sabha,Tariq Anwar,Bihar,KATIHAR,,147000000.0
MP_LS_511,Lok Sabha,Thalikkottai Rajuthevar Baalu,Tamil Nadu,SRIPERUMBUDUR,,196905535.11
MP_LS_512,Lok Sabha,Thanga Tamilselvan,Tamil Nadu,THENI,,147000000.0
MP_LS_513,Lok Sabha,Tharaniventhan M S,Tamil Nadu,ARANI,,168337124.35
MP_LS_514,Lok Sabha,Thiru Dayanidhi Maran,Tamil Nadu,CHENNAI CENTRAL,,147000000.0
MP_LS_515,Lok Sabha,Thirumaa Valavan Thol,Tamil Nadu,CHIDAMBARAM(SC),,147000000.0
MP_LS_516,Lok Sabha,Tokhan Sahu,Chhattisgarh,BILASPUR,,147000000.0
MP_LS_517,Lok Sabha,Trivendra Singh Rawat,Uttarakhand,HARDWAR,,147000000.0
MP_LS_518,Lok Sabha,Ujjwal Raman Singh,Uttar Pradesh,ALLAHABAD,,147000000.0
MP_LS_519,Lok Sabha,Ummeda Ram Beniwal,Rajasthan,BARMER,,147000000.0
MP_LS_520,Lok Sabha,Utkarsh Verma Madhur,Uttar Pradesh,KHERI,,147000000.0
MP_LS_521,Lok Sabha,V S Matheswaran,Tamil Nadu,NAMAKKAL,,162539930.11
MP_LS_522,Lok Sabha,V. Somanna,Karnataka,TUMKUR,,147000000.0
MP_LS_523,Lok Sabha,Vaithilingam Ve,Puducherry,Puducherry,,209368972.11
MP_LS_524,Lok Sabha,Vamsi Krishna Gaddam,Telangana,PEDDAPALLE,,148451721.11
MP_LS_525,Lok Sabha,Varun Chaudhry,Haryana,AMBALA (SC),,255454264.0
